filtered_row_index,rpm,deg,tor,fft_y_Bw_filtered_ampl_0,fft_y_Bw_filtered_phase_0,fft_y_Bw_filtered_ampl_1,fft_y_Bw_filtered_phase_1,fft_y_Bw_filtered_ampl_3,fft_y_Bw_filtered_phase_3,fft_y_Bw_filtered_ampl_39,fft_y_Bw_filtered_phase_39,fft_y_Bw_filtered_ampl_40,fft_y_Bw_filtered_phase_40,fft_y_Bw_filtered_ampl_78,fft_y_Bw_filtered_phase_78,fft_y_Bw_filtered_ampl_81,fft_y_Bw_filtered_phase_81,fft_y_Bw_filtered_ampl_156,fft_y_Bw_filtered_phase_156,fft_y_Bw_filtered_ampl_162,fft_y_Bw_filtered_phase_162,fft_y_Bw_filtered_ampl_240,fft_y_Bw_filtered_phase_240
511,1400.0,35.0,1800.0,0.04915586517785815,0.0,0.017200217725466087,0.019194356521511934,0.0011028068572731193,1.0219355853066492,0.0007633865778360802,2.7034524865601863,0.0004395525181749706,1.0361562133774302,0.0026058345175488237,0.3780248132114689,8.734009410602664e-05,0.21372069302462807,0.0010429412502265484,0.5856477305503355,0.0010711617891204406,1.3870731301339954,0.000855445238163514,0.9824319573655467
512,1400.0,35.0,200.0,0.005746369042612402,0.0,0.017249916341051632,0.00744278590689574,0.0007837943496166646,1.7235697893577584,0.00045629450524564734,-1.631496817025491,0.0003379641345447947,0.3698774908185997,0.0004375758777414885,-0.005022696353185123,0.00019050874835237514,0.18703702653637128,0.00030402383312102133,0.6935829948047102,0.0004531918342961688,1.5141630135242472,0.0002728047794584638,2.9483527644241936
513,1400.0,35.0,300.0,0.0011829038055053173,0.0,0.017178672667325503,0.007760570826937145,0.0007949434847729277,1.7179239638263255,0.0004163728959632429,-1.7133906067474194,0.00034173542707458486,0.2794646452216256,0.00046730787394946697,0.08356580352235854,0.00011468135725794305,0.19233017242721354,0.00033719288810525616,0.6922189094881417,0.00048329905676770677,1.4959308001793796,0.0002908542028844095,2.847509540643742
514,1400.0,35.0,400.0,0.0016754474291254436,0.0,0.017168902446402925,0.010199880756615846,0.0008143286057594915,1.681041659006062,0.00035979674103220804,-1.8031528797463832,0.0003526047797979975,0.3545486317615017,0.0005270068073062867,0.18264996711193465,0.00010662774900185767,0.15641242235819405,0.0003667419795987597,0.647106029480862,0.0004842800471823177,1.5143067907747592,0.0002741822582756111,2.740941538456856
515,1400.0,35.0,500.0,0.009438689114486873,0.0,0.01716669728219592,0.008015553315738645,0.0007978527998299212,1.6311447364368596,0.00031696383354981296,-1.9928544481835875,0.0003416790695108743,0.4276397670652787,0.0006146134708445283,0.26775639486100783,9.680786096335086e-05,0.20222475207081644,0.0004038519403092008,0.6142021966360837,0.0005133870714176206,1.4745938886370642,0.00025947105438180185,2.647935986454305
516,1400.0,35.0,600.0,0.010138890317033508,0.0,0.017154460586973997,0.009166793578317366,0.0008138895436098522,1.584730629494502,0.00029922173635915623,-2.216439970953976,0.0003470800953321241,0.5083914174474996,0.0007203192983699145,0.30044069461914624,9.832375046666108e-05,0.2545552296972256,0.00043952559891361463,0.6065958998449502,0.0005357685699831389,1.4978273362900039,0.0002489885302321371,2.525010577891355
517,1400.0,35.0,700.0,0.01004184224403908,0.0,0.017157384165834854,0.010644082372354466,0.0008237733260416835,1.5390201118816849,0.000305921261696926,-2.3837090696274363,0.0003714962363384138,0.5788637711556529,0.0008405629228973885,0.32611544939275483,9.709993522312456e-05,0.26727385028822986,0.0004820370810647416,0.5940708193377645,0.0005823091920771455,1.512872387416935,0.00023315421687338992,2.3834851060611615
518,1400.0,35.0,800.0,0.014204580692574903,0.0,0.017120850520923676,0.01015181705287622,0.0008431593809665375,1.5052270397784855,0.00029274953416204893,-2.4799974927214397,0.00033327528793495996,0.44972645862153166,0.0008512616242368489,0.29230859638927975,9.257838920975944e-05,0.20774050898735916,0.0004912646390841198,0.5912059793207005,0.0005817538114219523,1.4990864535295316,0.00023130459638968833,2.40953098882938
519,1400.0,35.0,900.0,0.02418419339151532,0.0,0.01710724648933778,0.00884939048462539,0.0008586450009572344,1.434251612601756,0.00032188338528482484,-2.7827980962842505,0.00034066805410178894,0.48901219659445494,0.0011019387150549682,0.3277730823180628,8.625900825919642e-05,0.4217898326158001,0.000586465641414823,0.562630602622556,0.0006746884872349421,1.510069049636757,0.00023042090372630048,2.0220360399430923
520,1500.0,35.0,1100.0,0.029323720495827123,0.0,0.017162410648938347,0.010159820496408557,0.0008769008736308458,1.3537941272614467,0.00040611051174077736,-3.098855471887314,0.0003602611224668514,0.5646708275830732,0.0014799168961385477,0.35064958124910417,9.5123714637548e-05,0.21691141585641296,0.0011207345901149079,0.6466720801280006,0.0014229129664334662,1.5768206820830386,0.0005050138467720878,1.7427360206979416
521,1500.0,35.0,1200.0,0.034345998459837324,0.0,0.017140254899070836,0.013935228697496903,0.0008976585620469857,1.2881062768437088,0.0004259578607512478,3.09271099688826,0.00029836690265234165,0.5225226477207955,0.001629533789133032,0.3660300843548755,8.343565725551513e-05,0.33777222104021726,0.0011730050234745068,0.6840216094539732,0.0014504518510290384,1.5499909030431263,0.0005520683898993696,1.6789164160159074
522,1500.0,35.0,1300.0,0.037373229051825434,0.0,0.01711874909708438,0.012270234598533108,0.0009059365334574626,1.2911323287421514,0.0004447503068551704,3.0356328996461954,0.0003094841699313281,0.46391708937169773,0.001777969519176659,0.3731040099710642,8.133880342136183e-05,0.3278358204858135,0.0012131904639295784,0.6992766715890808,0.0015249020362869312,1.5253598545279459,0.0005917701470152744,1.587286409021604
523,1500.0,35.0,1400.0,0.0367978126062509,0.0,0.017127621563865856,0.014759647199783498,0.000993442282627387,1.1713960101463492,0.0005442943434638486,2.93925093388252,0.00018364474155597467,0.3143982526309114,0.001881882603809753,0.3027768844975739,9.199581454820143e-05,0.2201210780605017,0.0013562301678439002,0.7069644981715933,0.0016988019524716471,1.5807440039223815,0.0006456140571077661,1.5901767531914042
524,1500.0,35.0,1500.0,0.04301908611590617,0.0,0.0172147770072838,0.013518639981529811,0.0010088339750454493,1.15328024305948,0.0005540981865881299,2.9168254230957342,0.0003510503223513407,0.7414198571422586,0.0020826606494777048,0.3276683159566952,9.22129682686016e-05,0.39454101189080704,0.0014170313627980917,0.7554289112996201,0.0017309388987738583,1.5397316952587243,0.0007026835708230217,1.5073101837028258
525,1500.0,35.0,1600.0,0.04657965996797858,0.0,0.01718626521978298,0.014010213230899161,0.0009837099376484861,1.1195966804201667,0.0006164348566880783,2.796076963104916,0.00041143034137090665,0.7794847257390332,0.0022535831286257728,0.3411988764291531,8.387848309860093e-05,0.25034735403463393,0.0015006123089119298,0.772382694156379,0.0017980531786168288,1.519822502122485,0.0008022713526742506,1.4100508634868245
526,1500.0,35.0,1700.0,0.05143145263722008,0.0,0.01722038887557265,0.01683927556495798,0.0010364637740404915,1.103913610758594,0.0006995637575714839,2.785145990512906,0.0003915871217083764,0.7445122403351491,0.0024350307537229824,0.34607418639307247,8.822570171882477e-05,0.06373608095727802,0.0015333141588622365,0.7665871818511327,0.001882675042345563,1.4957576634046443,0.000889279488888716,1.3723534445741072
527,1500.0,35.0,500.0,0.00591169176993316,0.0,0.017144267637902638,0.007693971691933643,0.0008022566248677588,1.6233426641995952,0.00032092913068478,-1.9564513256315101,0.00035201583451170405,0.40821584178809484,0.0006736526492796654,0.24923643493409844,0.00011306962002756939,0.10377022401604911,0.0007660918443685392,0.719786527228967,0.0009098613432326072,1.599363658750592,0.0002873794934649006,2.4242536613319263
528,1500.0,35.0,600.0,0.009223926600549192,0.0,0.01711168686811741,0.007446581437984066,0.0008252016384923374,1.5716113520490753,0.0003021605205204745,-2.1883380661760192,0.00035244212414182503,0.4300974373060022,0.0007866407524869971,0.28313106075055383,0.00011179115683552468,0.12064038385597348,0.0008227557156575609,0.7047829409231046,0.0009652895885200001,1.5868064215872362,0.0002996189928807333,2.2894967093394962
529,1500.0,35.0,700.0,0.013119443792663884,0.0,0.01711344495590873,0.007419814693223914,0.0008352189233306465,1.5151432075947258,0.0003003121337564829,-2.4444247849257557,0.0003633285311491401,0.5137661608682331,0.0009056295832652767,0.3061795903935672,9.825785845607259e-05,0.17439057847600362,0.0008803995645496655,0.7073381870216635,0.0010306240963853799,1.6017439460008511,0.0003260561113141619,2.1687078343650605
530,1500.0,35.0,800.0,0.019265035905743078,0.0,0.017107008109491527,0.008211447412092196,0.0008475699429013085,1.4627802610568448,0.00031913539827694974,-2.57556094047741,0.0003273718403676495,0.3983886595290323,0.0010393261824677928,0.29350781177736474,0.00010450849485001815,0.15836481434376995,0.0009508941264064901,0.6598301031502777,0.0011422562588960516,1.5937139480902827,0.0003598252889377541,2.0396801782807295
531,1500.0,35.0,900.0,0.022726318059931177,0.0,0.017127583239307808,0.010098706358872098,0.0008831186890974088,1.4412864396587985,0.00033143622328626345,-2.7387360334652517,0.00030653641291168254,0.5009058874858312,0.0011659299596201006,0.31143013023547605,0.00011135744394679049,0.2125072765115853,0.0009921670396662908,0.6143458943577211,0.0013167819937542954,1.6097694657190178,0.00045233005768421036,2.0100308157773004
532,1600.0,35.0,100.0,0.006703673325182235,0.0,0.017276749435772867,0.01078980949176805,0.00075084563627156,1.7339750139982575,0.0005546578021012744,-1.3813085370817226,0.0004103792721264882,0.2894331809799744,0.0004254275573614029,-0.2490441410372989,0.00015195424840419892,-0.3195438100410115,0.0018522115465228433,0.8010871252994051,0.007418548519071322,-2.401145445509965,0.00029812972380567144,2.5379261391944676
533,1600.0,35.0,1000.0,0.024891802941724068,0.0,0.01714628737907721,0.007073365425773177,0.0008888738205149367,1.3442614835025108,0.0003743966699597389,-2.896287169391922,0.0002908425140013825,0.4297266082443752,0.0013431836998479406,0.28525813129605565,0.00012593052331370236,0.07838121808297724,0.0031130435695166463,0.73828058579858,0.012888463194545442,-2.376529276327537,0.0006655254431043386,2.4685795822903875
534,1600.0,35.0,1100.0,0.026219233063374554,0.0,0.01712254195062976,0.012589454860496199,0.0009230457481183181,1.3360155587875109,0.0003877700674744655,-3.093039406108316,0.00030176561331876514,0.5191028311102583,0.0014883392227271776,0.31587505015571843,0.00012710588033631442,0.0030844283258478545,0.003223443937788053,0.7825749889604051,0.012891407995920845,-2.404783068291186,0.0006992886522152854,2.434301429263337
535,1600.0,35.0,1200.0,0.03319791237451716,0.0,0.017121202809236902,0.010524584071921894,0.0009376134109808655,1.2739375062017613,0.0004315992834347269,3.0712944213711757,0.0002862553188229426,0.3729359956700148,0.0016530681643701314,0.3286927979328191,0.0001200267712307903,-0.03983748532534503,0.003384207843556043,0.7986964025016484,0.013253769465828373,-2.4266303949925483,0.0006986085403404638,2.3809285284418595
536,1600.0,35.0,1300.0,0.0366604451766275,0.0,0.017160327062159392,0.008270200402231132,0.0009642454657917735,1.251340383505317,0.00047139545973436353,2.962989421633245,0.0002849700103811851,0.4323641138407802,0.001833321002718646,0.34500780926447217,0.00011031150966805492,0.04917386321644282,0.0035292019881612412,0.8485791291456104,0.013495570041005343,-2.4502213503672414,0.0007293717620734755,2.359576399993594
537,1600.0,35.0,1400.0,0.039695925883688025,0.0,0.0171307047328709,0.007665581517013306,0.0009807111613532283,1.2106828566902992,0.0005240258913133456,2.936920616872966,0.0002751788151208982,0.3889323457942677,0.002002463677489996,0.3525629038061665,0.00011344720703098822,-0.0035606923704568473,0.0037009680591133516,0.8683470286069446,0.014045320637731498,-2.464026326062526,0.0008108848021120329,2.3035326367279576
538,1600.0,35.0,1500.0,0.04461204010004237,0.0,0.017137295682793086,0.010487156002781271,0.0009920494286926368,1.1783588103010514,0.000545440029524067,2.894902594251143,0.000323599047719651,0.5187604750926142,0.0021739894581999713,0.3619335860381368,0.00011093020148632454,-0.02691879468405181,0.004005977534004747,0.8998290108673755,0.014644275137213817,-2.4748339826110906,0.0009347684880046644,2.328272381198459
539,1600.0,35.0,1600.0,0.047878620982830855,0.0,0.01715235686406049,0.01237825903640606,0.0010486115382469436,1.1330975015504658,0.0006055468838778114,2.8026488885704772,0.0002893393945754875,0.6596122693648718,0.002340995288332145,0.3716677239787913,0.00011690312510433332,0.020125981489667193,0.004315455291985262,0.9224132721711711,0.01525368181255026,-2.4882496679165444,0.001030535900857366,2.3579149538727697
