family,surface,setpoint_score,actual_score,score_delta_actual_minus_setpoint,setpoint_mae,actual_mae,mae_delta_actual_minus_setpoint,setpoint_centered_mae,actual_centered_mae,centered_mae_delta,setpoint_abs_offset,actual_abs_offset,abs_offset_delta
wave3_3_raw_offset_curve_aware,forward,0.4176190476190476,0.5080952380952382,0.09047619047619054,0.0020483373144276366,0.0019403822047788562,-0.00010795510964878036,0.0015778470145229847,0.0015858565844811701,8.009569958185477e-06,0.001236363843167041,0.0009690486952761762,-0.0002673151478908649
wave3_3_raw_offset_curve_aware,backward,0.37333333333333335,0.1261904761904762,-0.24714285714285716,0.002560858414072663,0.0021750404277475813,-0.0003858179863250816,0.002101981079299432,0.002086351643046128,-1.562943625330439e-05,0.0011031528297294963,0.0005156415939536239,-0.0005875112357758724
wave4_1_log_cosh_robust_loss,forward,0.3914285714285714,0.18333333333333335,-0.20809523809523806,0.002047575296053144,0.0017489222581531059,-0.0002986530379000382,0.0016001777654411197,0.0015509277456414571,-4.925001979966259e-05,0.0010612135439356744,0.0007257640418774969,-0.0003354495020581775
wave4_1_log_cosh_robust_loss,backward,0.3657142857142857,0.28476190476190477,-0.08095238095238094,0.0025768844955916716,0.002218090087750602,-0.00035879440784106946,0.0021913094378591897,0.002106790906219525,-8.451853163966459e-05,0.0010106743287808674,0.0006417237584468814,-0.0003689505703339859
wave4_1_mae_robust_loss,forward,0.16523809523809524,0.12476190476190475,-0.040476190476190485,0.0017515702468697944,0.0016650359925292687,-8.653425434052573e-05,0.0014792590898218391,0.001492123085715608,1.286399589376882e-05,0.000722233994625654,0.000682524269205397,-3.9709725420257035e-05
wave4_1_mae_robust_loss,backward,0.18047619047619048,0.42904761904761907,0.24857142857142858,0.0024509899112748774,0.0023165508451625186,-0.00013443906611235873,0.0020598011781555584,0.0021149498743976685,5.514869624211006e-05,0.0009029192451463436,0.0007358888135522373,-0.00016703043159410635
wave4_1_smooth_l1_robust_loss,forward,0.24333333333333332,0.1638095238095238,-0.07952380952380952,0.001946618891692182,0.0017583345306652373,-0.0001882843610269446,0.0015322631550620954,0.0015545965489971872,2.2333393935091827e-05,0.0010292855461654206,0.000705073921675634,-0.00032421162448978663
wave4_1_smooth_l1_robust_loss,backward,0.3376190476190476,0.2595238095238095,-0.0780952380952381,0.00252258221054796,0.0022003096979323965,-0.00032227251261556346,0.0021127865138123045,0.0020935155786251172,-1.927093518718729e-05,0.0010531922910299457,0.0005996811256089126,-0.0004535111654210331
wave4_2_gaussian_nll,forward,0.9,0.2719047619047619,-0.628095238095238,0.08440458036068836,0.0017938053489924498,-0.0826107750116959,0.0811613932697128,0.001530886639700994,-0.07963050663001181,0.021862118179563076,0.0007746601640889378,-0.02108745801547414
wave4_2_gaussian_nll,backward,0.9,0.3414285714285714,-0.5585714285714286,0.08945177124734603,0.0023272877220834928,-0.08712448352526254,0.0738740171697419,0.0020622811111870097,-0.0718117360585549,0.05313811494897601,0.0007428464030330638,-0.052395268545942945
wave4_2_quantile_p10_p50_p90,forward,0.21095238095238095,0.12857142857142856,-0.08238095238095239,0.0018246743501222087,0.0017098178554365265,-0.00011485649468568216,0.001506203338523764,0.0014996010195319682,-6.602318991795735e-06,0.0008981834056770073,0.0007050036024556761,-0.00019317980322133116
wave4_2_quantile_p10_p50_p90,backward,0.20047619047619045,0.2814285714285714,0.08095238095238097,0.002476395530040433,0.00217904821923588,-0.000297347310804553,0.0020771658741198947,0.0020987241395942166,2.155826547432186e-05,0.0009363670530511771,0.0005898878888349273,-0.00034647916421624977
wave4_3_mixture_density_k2,forward,0.8438095238095238,0.8771428571428571,0.033333333333333326,0.017215146549198746,0.005174191248533451,-0.012040955300665295,0.015894527188880597,0.004645334940255208,-0.01124919224862539,0.006788806009727964,0.00218058819962548,-0.004608217810102484
wave4_3_mixture_density_k2,backward,0.8357142857142856,0.8742857142857142,0.03857142857142859,0.013117600992962388,0.01988272110069564,0.006765120107733251,0.008996229799345884,0.019177950880988493,0.010181721081642609,0.00963074648761773,0.005265140193140396,-0.004365606294477334
wave4_3_mixture_density_k3,forward,0.8571428571428571,0.8971428571428571,0.040000000000000036,0.020326123807460426,0.012586681024038005,-0.007739442783422422,0.019723965155843983,0.012086110223629643,-0.00763785493221434,0.004816266341179182,0.004018007091742508,-0.0007982592494366735
wave4_3_mixture_density_k3,backward,0.8614285714285714,0.9,0.03857142857142859,0.018190837819193065,0.031030144851283973,0.012839307032090908,0.0161728928177718,0.02809169832289492,0.011918805505123121,0.009637273207938847,0.014742153721965825,0.005104880514026978
wave4_4_causal_tcn_latent_offset_residual,forward,0.6371428571428571,0.651904761904762,0.014761904761904865,0.002307361056875313,0.0022090557591417813,-9.830529773353176e-05,0.0019176935496824541,0.001972104587270219,5.441103758776502e-05,0.0010031245502347495,0.0008627123131815038,-0.00014041223705324565
wave4_4_causal_tcn_latent_offset_residual,backward,0.6142857142857142,0.5866666666666667,-0.027619047619047543,0.0027838013505065494,0.0025289088267180233,-0.00025489252378852606,0.0024138032047768335,0.0024366966164194068,2.2893411642573285e-05,0.0009606088576488776,0.0006017660832560547,-0.00035884277439282293
wave4_4_gru_latent_offset_residual,forward,0.5566666666666666,0.6490476190476191,0.09238095238095245,0.002266068402036818,0.002209611749660259,-5.645665237655889e-05,0.0019478713469070288,0.0019819744987986452,3.4103151891616426e-05,0.0009227833775202517,0.0008891069601261373,-3.367641739411434e-05
wave4_4_gru_latent_offset_residual,backward,0.7242857142857142,0.5728571428571428,-0.15142857142857136,0.002836003098383179,0.00254741274020657,-0.00028859035817660906,0.002443316705737971,0.0024058568350862433,-3.74598706517279e-05,0.00109029267345947,0.000680843851956609,-0.00040944882150286094
wave5_1_harmonic_prior_pointwise_control,forward,0.44904761904761903,0.4104761904761905,-0.038571428571428534,0.002088904354929871,0.0018950671995486583,-0.00019383715538121276,0.0015868316019893656,0.0015759020161443863,-1.0929585844979316e-05,0.0012065101246759252,0.0009313129215697556,-0.0002751972031061696
wave5_1_harmonic_prior_pointwise_control,backward,0.26285714285714284,0.4942857142857143,0.23142857142857143,0.002528483896109593,0.0024775910011601786,-5.0892894949414354e-05,0.002080635370142778,0.002105520151638824,2.488478149604602e-05,0.0010265683894410767,0.0008934935556976872,-0.0001330748337433895
wave5_1_harmonic_prior_smooth_l1_structured,forward,0.49238095238095236,0.4419047619047619,-0.05047619047619045,0.0021045771706036712,0.001916073372222537,-0.00018850379838113423,0.001561906466465387,0.0015625427562450888,6.362897797017927e-07,0.0012235290872595075,0.0009196701888055496,-0.0003038588984539579
wave5_1_harmonic_prior_smooth_l1_structured,backward,0.29428571428571426,0.5338095238095238,0.23952380952380958,0.002536287453347101,0.0025162783263260845,-2.000912702101662e-05,0.0021329614916501013,0.002141005513402986,8.04402175288467e-06,0.0009838539921833828,0.0009308163199762475,-5.303767220713525e-05
