condition_id,surface,learned_h08_gate,residual_abs_max_deg,reconstruction_max_abs_difference_deg,onnx_max_abs_difference_deg,plc_reference_max_abs_difference_deg
speed_1500rpm__torque_300Nm__temperature_25degC__Bw,Bw,-0.031139366328716278,0.0,3.725290298461914e-09,0.0,0.0
speed_1500rpm__torque_800Nm__temperature_30degC__Fw,Fw,-0.02091025933623314,0.00011155162792420015,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1500rpm__torque_800Nm__temperature_30degC__Bw,Bw,-0.06067774444818497,0.0,3.725290298461914e-09,0.0,0.0
speed_1500rpm__torque_1400Nm__temperature_35degC__Fw,Fw,-0.1166328489780426,0.0003456760023254901,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1500rpm__torque_1400Nm__temperature_35degC__Bw,Bw,-0.07255204021930695,0.0,7.450580596923828e-09,0.0,0.0
speed_1600rpm__torque_0Nm__temperature_25degC__Fw,Fw,0.06616396456956863,0.00019035882723983377,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1600rpm__torque_0Nm__temperature_25degC__Bw,Bw,-0.06693315505981445,0.0,3.725290298461914e-09,0.0,0.0
speed_1600rpm__torque_0Nm__temperature_30degC__Fw,Fw,0.006364905741065741,4.2291299905627966e-05,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1600rpm__torque_0Nm__temperature_30degC__Bw,Bw,-0.12259303033351898,0.0,1.862645149230957e-09,0.0,0.0
speed_1600rpm__torque_600Nm__temperature_35degC__Fw,Fw,-0.08998942375183105,0.0005989483324810863,7.450580596923828e-09,3.725290298461914e-09,7.450580596923828e-09
speed_1600rpm__torque_600Nm__temperature_35degC__Bw,Bw,-0.14024464786052704,0.0,3.725290298461914e-09,0.0,0.0
speed_1600rpm__torque_1600Nm__temperature_30degC__Fw,Fw,-0.09560643136501312,0.0005397010827437043,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1600rpm__torque_1600Nm__temperature_30degC__Bw,Bw,-0.04182412847876549,0.0,7.450580596923828e-09,0.0,0.0
speed_1600rpm__torque_1700Nm__temperature_35degC__Fw,Fw,-0.1572764366865158,0.0009515865822322667,1.4901161193847656e-08,7.450580596923828e-09,1.4901161193847656e-08
speed_1600rpm__torque_1700Nm__temperature_35degC__Bw,Bw,-0.0783601850271225,0.0,7.450580596923828e-09,0.0,0.0
speed_1700rpm__torque_200Nm__temperature_30degC__Fw,Fw,-0.032536618411540985,0.0001325502380495891,3.725290298461914e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1700rpm__torque_200Nm__temperature_30degC__Bw,Bw,-0.1337864249944687,0.0,1.862645149230957e-09,0.0,0.0
speed_1700rpm__torque_400Nm__temperature_30degC__Fw,Fw,-0.04582710191607475,0.0001943532843142748,7.450580596923828e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1700rpm__torque_400Nm__temperature_30degC__Bw,Bw,-0.12508298456668854,0.0,3.725290298461914e-09,0.0,0.0
speed_1700rpm__torque_500Nm__temperature_35degC__Fw,Fw,-0.10814663022756577,0.0003304655838292092,7.450580596923828e-09,3.725290298461914e-09,3.725290298461914e-09
speed_1700rpm__torque_500Nm__temperature_35degC__Bw,Bw,-0.16527166962623596,0.0,3.725290298461914e-09,0.0,0.0
speed_1700rpm__torque_800Nm__temperature_30degC__Fw,Fw,-0.07183283567428589,0.000342293904395774,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1700rpm__torque_800Nm__temperature_30degC__Bw,Bw,-0.10666831582784653,0.0,4.6566128730773926e-09,0.0,0.0
speed_1700rpm__torque_1200Nm__temperature_25degC__Fw,Fw,-0.0286424458026886,5.953875370323658e-05,7.450580596923828e-09,7.450580596923828e-09,7.450580596923828e-09
speed_1700rpm__torque_1200Nm__temperature_25degC__Bw,Bw,-0.033753905445337296,0.0,3.725290298461914e-09,0.0,0.0
