condition_id,split,direction,source_path,row_count,finite_value_pass,theta_min_deg,theta_max_deg,median_absolute_angle_step_deg,p95_absolute_angle_step_deg,unwrapped_revolution_count,wrap_count,direction_speed_sign_pass,torque_sign_observation,mean_speed_rpm,speed_std_rpm,mean_torque_nm,torque_std_nm,mean_temperature_deg_c,temperature_std_deg_c,mean_te_deg,te_std_deg,te_peak_to_peak_deg,nominal_speed_error_rpm,nominal_torque_magnitude_error_nm,nominal_temperature_error_deg_c,operating_metadata_pass,operating_metadata_issue
speed_1300rpm__torque_0Nm__temperature_35degC,validation,Bw,data/polished_dataset/backward/35degree/1300rpm/1300.0rpm0.0Nm35.0deg.csv,14954,True,0.013468558382680853,359.9894058776793,0.024074042839544063,0.024092115666633163,0.9999434645977707,1,True,near_zero_setpoint,-1300.0001326904724,0.5952736121948691,-0.007909483874984897,6.151167666182694,34.90432793901297,0.15284631663350973,-0.007913926006646803,0.012429948022005827,0.04108432059635866,0.00013269047235553444,0.007909483874984897,-0.09567206098702741,True,none
speed_1300rpm__torque_200Nm__temperature_35degC,validation,Fw,data/polished_dataset/forward/35degree/1300rpm/1300.0rpm200.0Nm35.0deg.csv,14953,True,0.03471013262098416,359.9902960978863,0.024074159769156722,0.024092135329587448,0.9998766276812925,0,True,negative_measured,1300.0001459065604,0.5917271864657283,-199.8936928754378,5.8277683480209115,35.86040326355915,0.1435901855899706,-0.029249886763788122,0.012309314564263414,0.04207692626358925,0.00014590656041946204,-0.10630712456219271,0.8604032635591494,True,none
speed_1300rpm__torque_200Nm__temperature_35degC,validation,Bw,data/polished_dataset/backward/35degree/1300rpm/1300.0rpm200.0Nm35.0deg.csv,14954,True,0.009615862123471155,359.98554750966673,0.02407419185198023,0.024090725925736932,0.999943493980419,1,True,positive_measured,-1300.0000240818524,0.5487259957463436,200.20352749676215,5.982696694837275,36.18275845927511,0.14811483422089555,-0.0035136502417629557,0.012214433001695023,0.03963113347682591,2.408185241620231e-05,0.20352749676214898,1.1827584592751066,True,none
speed_1300rpm__torque_600Nm__temperature_25degC,validation,Fw,data/polished_dataset/forward/25degree/1300rpm/1300.0rpm600.0Nm25.0deg.csv,14954,True,0.014013372775374238,359.9899415651124,0.02407419805692257,0.024093294309716386,0.9999434509929732,1,True,negative_measured,1300.0000719122063,0.6448443506361727,-599.9796390692882,6.523511171531779,27.473096830279523,0.15456624450182446,-0.043466029716682196,0.012380104123678652,0.04503403066014444,7.191220629465533e-05,-0.020360930711831315,2.4730968302795233,True,none
speed_1300rpm__torque_600Nm__temperature_25degC,validation,Bw,data/polished_dataset/backward/25degree/1300rpm/1300.0rpm600.0Nm25.0deg.csv,14954,True,0.014456953444556615,359.9903942789505,0.024074231172392047,0.024094223555624694,0.9999433475931762,1,True,positive_measured,-1299.9998437051854,0.6750839132979416,599.8184917036388,4.881340562991109,28.148264678346933,0.1485495988181092,0.007896534697567634,0.012167458600597217,0.04154504690465745,-0.0001562948145874543,-0.181508296361244,3.1482646783469335,True,none
speed_1300rpm__torque_800Nm__temperature_25degC,validation,Fw,data/polished_dataset/forward/25degree/1300rpm/1300.0rpm800.0Nm25.0deg.csv,14954,True,0.013949648580202718,359.98988719553597,0.024074439166554384,0.024095013530262575,0.9999435243489949,1,True,negative_measured,1300.0001520505277,0.7050340876934426,-800.0145248348292,6.978876296619158,28.211308679951856,0.15178058881200582,-0.049689920065081786,0.012330069836019067,0.04449559065158411,0.00015205052773126226,0.01452483482921707,3.2113086799518555,True,none
speed_1300rpm__torque_800Nm__temperature_25degC,validation,Bw,data/polished_dataset/backward/25degree/1300rpm/1300.0rpm800.0Nm25.0deg.csv,14954,True,0.014883603691206095,359.9908206508396,0.024074217716133717,0.02409608393075473,0.9999433390934158,1,True,positive_measured,-1299.999787306406,0.7408238776189032,799.9288475554591,5.340022235863799,28.786781463153673,0.15556615526094128,0.015431257803878863,0.012197805203653036,0.04080636840693497,-0.0002126935939941177,-0.07115244454087133,3.786781463153673,True,none
speed_1300rpm__torque_1200Nm__temperature_30degC,validation,Fw,data/polished_dataset/forward/30degree/1300rpm/1300.0rpm1200.0Nm30.0deg.csv,14954,True,0.013475717149509897,359.98940800213086,0.024074732015975542,0.024096397683166515,0.999943268226667,1,True,negative_measured,1299.9998187885208,0.7732773475538138,-1199.9480220521216,7.757517176092717,31.684445633275377,0.1484696699606064,-0.06507336103893488,0.012365260457527184,0.04531196318539441,-0.0001812114792301145,-0.05197794787841303,1.6844456332753772,True,none
speed_1300rpm__torque_1200Nm__temperature_30degC,validation,Bw,data/polished_dataset/backward/30degree/1300rpm/1300.0rpm1200.0Nm30.0deg.csv,14953,True,0.01511999198799475,359.9910533024569,0.024074361036682035,0.024101350403807942,0.9998765833802477,1,True,positive_measured,-1300.0000108887857,0.9015730512935696,1199.8578554001976,7.05643138384536,32.27186450879422,0.15096280704044637,0.030871056852585,0.012227894071670409,0.04358916542122464,1.0888785709539661e-05,-0.14214459980235006,2.2718645087942235,True,none
speed_1300rpm__torque_1300Nm__temperature_35degC,validation,Fw,data/polished_dataset/forward/35degree/1300rpm/1300.0rpm1300.0Nm35.0deg.csv,14954,True,0.013272513945638525,359.98920397315544,0.024074679240754904,0.024096501164115124,0.999943423165398,1,True,negative_measured,1300.000119907013,0.7695323528694002,-1300.1638048390614,8.760184636679428,34.85620636618965,0.15129906186877431,-0.06773096978984319,0.01242945133501209,0.046909395606056226,0.00011990701295871986,0.16380483906141308,-0.14379363381034693,True,none
