condition_id,split,direction,nominal_speed_rpm,nominal_torque_nm,measured_signed_torque_nm,measured_temperature_deg_c,measured_curve_mean_te_deg,measured_curve_peak_to_peak_te_deg,low_torque_condition,direction_torque_sign_pass
speed_100rpm__torque_1600Nm__temperature_25degC,train,Bw,100.0,1600.0,1599.9622419480556,24.918912191358025,0.04977966286161187,0.045366003691880125,False,True
speed_100rpm__torque_1700Nm__temperature_25degC,train,Fw,100.0,1700.0,-1699.997457654633,24.896423662551438,-0.08863949263518149,0.045963776194766034,False,True
speed_100rpm__torque_1700Nm__temperature_25degC,train,Bw,100.0,1700.0,1699.9707901197705,24.990362860082303,0.05356504928579212,0.04549142904700982,False,True
speed_100rpm__torque_1700Nm__temperature_30degC,train,Fw,100.0,1700.0,-1700.0390761649167,30.470270370370372,-0.09011950107275996,0.046380686883462405,False,True
speed_100rpm__torque_1700Nm__temperature_30degC,train,Bw,100.0,1700.0,1699.9637169292257,30.611003338460193,0.05559878223919769,0.04454668611710141,False,True
speed_100rpm__torque_1800Nm__temperature_25degC,train,Fw,100.0,1800.0,-1800.0498343409333,24.9464353909465,-0.09245979595835732,0.04665561020404804,False,True
speed_100rpm__torque_1800Nm__temperature_25degC,train,Bw,100.0,1800.0,1799.9971292903406,25.053474176954726,0.057236658216761056,0.04571590676059311,False,True
speed_100rpm__torque_1800Nm__temperature_30degC,train,Fw,100.0,1800.0,-1800.017354278666,30.983671637491575,-0.09339207403442011,0.047226916584685474,False,True
speed_100rpm__torque_1800Nm__temperature_30degC,train,Bw,100.0,1800.0,1800.0275488604702,31.095723971193415,0.05955408541566135,0.04435738134799664,False,True
speed_100rpm__torque_200Nm__temperature_25degC,train,Fw,100.0,200.0,-199.9860663877593,24.563443724279836,-0.03273343292634947,0.039098302109381526,False,True
speed_100rpm__torque_200Nm__temperature_25degC,train,Bw,100.0,200.0,199.98247494312713,24.58734435522451,-0.0034362439982285557,0.03774694063880912,False,True
speed_100rpm__torque_200Nm__temperature_30degC,train,Fw,100.0,200.0,-199.99628194197706,29.81714202674897,-0.0333439056321151,0.039670639153292594,False,True
speed_100rpm__torque_200Nm__temperature_30degC,train,Bw,100.0,200.0,200.01339202346838,29.743240226337452,-0.003008636827168901,0.03757130250829199,False,True
speed_100rpm__torque_200Nm__temperature_35degC,train,Fw,100.0,200.0,-199.98944725151415,35.99346748971193,-0.031215333631160417,0.03897380704685306,False,True
speed_100rpm__torque_200Nm__temperature_35degC,train,Bw,100.0,200.0,199.98294248176458,35.92127273662551,-0.0012288414564975599,0.038255987071195055,False,True
speed_100rpm__torque_300Nm__temperature_25degC,train,Fw,100.0,300.0,-300.0147324493883,24.582273096707823,-0.03688681890269493,0.03899358523321666,False,True
speed_100rpm__torque_300Nm__temperature_25degC,train,Bw,100.0,300.0,300.0224667139796,24.612190432098767,0.0008577276825256166,0.03795421164988301,False,True
speed_100rpm__torque_300Nm__temperature_35degC,train,Fw,100.0,300.0,-299.9936001924364,35.0526954593855,-0.03595019337938446,0.03969096061294933,False,True
speed_100rpm__torque_300Nm__temperature_35degC,train,Bw,100.0,300.0,300.02278867476156,35.06974104938271,0.003169885049269491,0.038320735719161926,False,True
speed_100rpm__torque_400Nm__temperature_25degC,train,Fw,100.0,400.0,-400.0104282569493,24.596794907407407,-0.04076931063123999,0.039941575376736656,False,True
speed_100rpm__torque_400Nm__temperature_25degC,train,Bw,100.0,400.0,400.0310923999502,24.62530380658436,0.004823491342733968,0.03813732001991603,False,True
