angular_position_deg,measured_te_deg,predicted_te_deg,residual_te_deg,speed_rpm,torque_nm,oil_temperature_deg
4.7761549949646,-0.05940309911966324,-0.06119590625166893,-0.0017928071320056915,1600.0,1500.0,25.0
4.805591583251953,-0.059599265456199646,-0.06149708107113838,-0.001897815614938736,1600.0,1500.0,25.0
4.83516263961792,-0.05966228246688843,-0.06179644912481308,-0.002134166657924652,1600.0,1500.0,25.0
4.864735126495361,-0.05972403660416603,-0.06209052354097366,-0.0023664869368076324,1600.0,1500.0,25.0
4.894050121307373,-0.06005093827843666,-0.06237468868494034,-0.0023237504065036774,1600.0,1500.0,25.0
4.9232587814331055,-0.060498058795928955,-0.0626484677195549,-0.002150408923625946,1600.0,1500.0,25.0
4.952271461486816,-0.06112975999712944,-0.06290913373231888,-0.0017793737351894379,1600.0,1500.0,25.0
4.981363773345947,-0.061668820679187775,-0.06315725296735764,-0.0014884322881698608,1600.0,1500.0,25.0
5.0105109214782715,-0.06213059648871422,-0.06339061260223389,-0.0012600161135196686,1600.0,1500.0,25.0
5.03980016708374,-0.062430188059806824,-0.06360789388418198,-0.0011777058243751526,1600.0,1500.0,25.0
5.0695414543151855,-0.06228310987353325,-0.06380907446146011,-0.0015259645879268646,1600.0,1500.0,25.0
5.099244117736816,-0.06218861788511276,-0.06398874521255493,-0.0018001273274421692,1600.0,1500.0,25.0
5.128939628601074,-0.062124185264110565,-0.06414560973644257,-0.0020214244723320007,1600.0,1500.0,25.0
5.158276557922363,-0.06243307515978813,-0.06427692621946335,-0.0018438510596752167,1600.0,1500.0,25.0
5.187381744384766,-0.06299669295549393,-0.0643828734755516,-0.0013861805200576782,1600.0,1500.0,25.0
5.216420650482178,-0.0636289194226265,-0.06446356326341629,-0.0008346438407897949,1600.0,1500.0,25.0
5.245555400848389,-0.06415344774723053,-0.0645187497138977,-0.0003653019666671753,1600.0,1500.0,25.0
5.275246620178223,-0.06412120908498764,-0.06454798579216003,-0.0004267767071723938,1600.0,1500.0,25.0
5.305342674255371,-0.06368335336446762,-0.06454960256814957,-0.0008662492036819458,1600.0,1500.0,25.0
5.335574150085449,-0.06311456114053726,-0.064522884786129,-0.0014083236455917358,1600.0,1500.0,25.0
5.365444660186768,-0.06289868801832199,-0.06446893513202667,-0.0015702471137046814,1600.0,1500.0,25.0
5.3950395584106445,-0.0629497841000557,-0.06438908725976944,-0.0014393031597137451,1600.0,1500.0,25.0
5.424382209777832,-0.06324005126953125,-0.06428481638431549,-0.0010447651147842407,1600.0,1500.0,25.0
5.453731536865234,-0.06351462751626968,-0.06415661424398422,-0.0006419867277145386,1600.0,1500.0,25.0
5.483517646789551,-0.06334482878446579,-0.06400342285633087,-0.0006585940718650818,1600.0,1500.0,25.0
5.513712406158447,-0.06276623159646988,-0.0638260543346405,-0.0010598227381706238,1600.0,1500.0,25.0
5.5440497398376465,-0.062057897448539734,-0.06362742185592651,-0.0015695244073867798,1600.0,1500.0,25.0
5.5742998123168945,-0.0614505261182785,-0.06341113895177841,-0.0019606128334999084,1600.0,1500.0,25.0
5.604268550872803,-0.06113531067967415,-0.06318125873804092,-0.0020459480583667755,1600.0,1500.0,25.0
5.633731365203857,-0.06132432445883751,-0.06294252723455429,-0.0016182027757167816,1600.0,1500.0,25.0
5.6631903648376465,-0.06151999905705452,-0.06269369274377823,-0.001173693686723709,1600.0,1500.0,25.0
5.692821502685547,-0.06154681369662285,-0.0624358206987381,-0.0008890070021152496,1600.0,1500.0,25.0
5.722719192504883,-0.06130344793200493,-0.06217067688703537,-0.0008672289550304413,1600.0,1500.0,25.0
5.753030776977539,-0.06063280627131462,-0.06189970672130585,-0.0012669004499912262,1600.0,1500.0,25.0
5.783502101898193,-0.059795450419187546,-0.06162813678383827,-0.0018326863646507263,1600.0,1500.0,25.0
5.814023971557617,-0.05890807509422302,-0.06135999411344528,-0.0024519190192222595,1600.0,1500.0,25.0
5.843957901000977,-0.058598458766937256,-0.0611036941409111,-0.0025052353739738464,1600.0,1500.0,25.0
5.8737945556640625,-0.0583810955286026,-0.060857582837343216,-0.002476487308740616,1600.0,1500.0,25.0
5.903469085693359,-0.058322206139564514,-0.06062469258904457,-0.0023024864494800568,1600.0,1500.0,25.0
5.933404445648193,-0.058009106665849686,-0.06040428206324577,-0.0023951753973960876,1600.0,1500.0,25.0
