condition_id,split,direction,model_id,validity_scope,nominal_speed_rpm,nominal_torque_nm,nominal_temperature_deg_c,mae_deg,rmse_deg,centered_mae_deg,centered_rmse_deg,offset_abs_error_deg,peak_to_peak_abs_error_deg,derivative_mae_deg_per_sample,periodic_closure_error_deg,retained_amplitude_mae_deg,retained_phase_mae_rad,curve_materialization_runtime_microseconds,prediction_memory_bytes
speed_800rpm__torque_0Nm__temperature_35degC,test,Fw,PF_A_PAPER_QUADRATIC,valid_common_split,800.0,0.0,35.0,0.003488034720495667,0.0036886640565995574,0.0009551642165677879,0.0012015078316892477,0.0034874950111561318,0.004463276423330033,0.0005616553102316355,4.1520030209167384e-06,0.00033503946965089687,0.943151923478175,435.30005495995283,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Fw,PF_E_REDUCED_QUADRATIC,valid_common_split,800.0,0.0,35.0,0.0034874950111561318,0.003584294991952448,0.0006570059222468985,0.0008273748464248201,0.0034874950111561318,0.0012610954551846298,0.000562968509491631,6.316236258808224e-06,0.00014082820446189402,0.5138606808468487,166.9999910518527,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Fw,PF_B_RECOVERED_ONNX,valid_recovered_fw,800.0,0.0,35.0,0.00950135316693592,0.009551993319398204,0.0007904430702944953,0.0009822750994424555,0.00950135316693592,0.002399022246535043,0.0005551842533361658,7.394811002423701e-05,0.00019397507442257635,0.6855791810458298,50.35017526421241,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Fw,PF_C_PLC_ORDER10,valid_recovered_plc,800.0,0.0,35.0,0.0024866573080228275,0.002597624640613688,0.0006008476202444752,0.0007514407756649439,0.00248656199082015,0.0017566089730787562,0.0005497764353153294,0.00020672901387119402,5.93979169708409e-05,0.6457328203207303,164.2000861465931,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Fw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,800.0,0.0,35.0,0.0002249294059943668,0.0002804869765210046,0.0002249294059943668,0.0002804869765210046,0.0,0.0007799779838498916,0.0004105031940430605,0.00021015105321125355,1.0119220276531375e-18,1.1572533055294166e-15,33.39990507811308,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Bw,PF_A_LOCAL_QUADRATIC,valid_common_split,800.0,0.0,35.0,0.001560722959939332,0.0017384381918546178,0.0006309830122609399,0.0007764568019047397,0.0015554041859512317,0.0013620151555819512,0.0005162924081216839,0.00032907164368226917,0.00011407432517978743,0.3587426564052216,215.00000730156898,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Bw,PF_A_PAPER_QUADRATIC,valid_common_split,800.0,0.0,35.0,0.0015681167097868613,0.0017702036359963757,0.0006753466025405065,0.000845185619387938,0.0015554041859512317,0.0047153032061671984,0.0004969225818676671,9.151391501531492e-06,0.00022462151821796457,0.9698379302250841,429.69989590346813,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Bw,PF_E_REDUCED_QUADRATIC,valid_common_split,800.0,0.0,35.0,0.001560450646679673,0.0016974960019762093,0.0005374814626374683,0.0006798606438459267,0.0015554041859512317,0.002647474175998324,0.0004939050294921843,5.887000374394866e-05,7.575601836455808e-05,0.6025065371244133,162.00006939470768,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Bw,PF_B_RECOVERED_ONNX,out_of_domain_bw_stress_only,800.0,0.0,35.0,0.017921785746228942,0.017953302020233007,0.0008562647196684196,0.001063319846503174,0.017921785746228942,0.0027898794470691893,0.0004981389465071675,7.394811002423701e-05,0.00032441251446110365,0.8561754965367346,50.45017602566175,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Bw,PF_C_PLC_ORDER10,valid_recovered_plc,800.0,0.0,35.0,0.0010914508906872669,0.0012648343410191763,0.000551308070968208,0.0006900966748700238,0.001059987023295449,0.0031603556055465956,0.0004968631438476616,8.187560578801212e-05,0.0001088234241462948,0.8648237922769506,168.70000399649143,16384
speed_800rpm__torque_0Nm__temperature_35degC,test,Bw,PF_D_DIRECT_ORACLE,target_leaking_ceiling_only,800.0,0.0,35.0,0.00023118274331144467,0.0002886087097493398,0.0002311827433114446,0.00028860870974933974,1.734723475976807e-18,0.0009574759231594926,0.00041775147656577583,0.000505964078943235,1.4215095150365502e-18,1.6294353983376592e-15,34.400029107928276,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Fw,PF_A_LOCAL_QUADRATIC,valid_common_split,800.0,100.0,35.0,0.0007161286429733358,0.0008661679825547359,0.000525728856248942,0.0006481107724074353,0.0005746297944697783,0.0010418164708507205,0.0004579198790066205,4.413372727543521e-05,6.584109366772057e-05,0.15201887461697136,212.5999890267849,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Fw,PF_A_PAPER_QUADRATIC,valid_common_split,800.0,100.0,35.0,0.0009824290562636877,0.0012140451565800414,0.0008767050875598078,0.0010694420234510509,0.0005746297944697783,0.004223533706052739,0.00045093386966977493,4.459365281489144e-06,0.0002713764567427296,0.9122035801506523,426.8999909982085,16384
speed_800rpm__torque_100Nm__temperature_35degC,test,Fw,PF_E_REDUCED_QUADRATIC,valid_common_split,800.0,100.0,35.0,0.0007252139019230789,0.0008878209733619219,0.0005473277746394799,0.0006767766840316912,0.0005746297944697783,0.0010871270853289455,0.00045946708316951367,4.624449186519698e-05,9.432967396390095e-05,0.35610610440618806,162.80007548630238,16384
