condition_id,split,source_path,row_count,nominal_speed_rpm,direction_window_order,valid_row_count,transition_row_count,transition_duration_s,finite_value_pass,raw_speed_outlier_count,raw_speed_outlier_fraction,forward_valid_median_speed_rpm,backward_valid_median_speed_rpm,forward_valid_speed_mad_rpm,backward_valid_speed_mad_rpm,valid_raw_acceleration_p95_rpm_per_s,transition_raw_acceleration_p95_rpm_per_s,valid_causal_5_acceleration_p95_rpm_per_s,transition_causal_5_acceleration_p95_rpm_per_s,valid_causal_21_acceleration_p95_rpm_per_s,transition_causal_21_acceleration_p95_rpm_per_s,valid_causal_101_acceleration_p95_rpm_per_s,transition_causal_101_acceleration_p95_rpm_per_s,causal_101_valid_to_transition_p95_ratio,valid_speed_stability_pass,robust_transition_excitation_pass,validated_transient_te_target_available,load_inertia_available,commanded_drive_law_available
speed_100rpm__torque_900Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm900.0Nm25.0deg.csv,466562,100.00549260197052,Fw_then_Bw,388800,38886,9.7215,True,1,2.1433378629206835e-06,100.00549260197052,-100.00023986503948,0.1908838312374499,0.17819926627755933,412.38959723460766,412.7807236121299,291.8243736028785,293.83598491550345,139.9857646829929,140.12147858736057,25.202141171007497,25.68845871354597,0.9810686367772611,True,False,False,False,False
speed_100rpm__torque_900Nm__temperature_30degC,validation,data/original_dataset/Test_30deg/100rpm/100.0rpm900.0Nm30.0deg.csv,460390,100.00202806744103,Fw_then_Bw,388800,32713,8.17825,True,1,2.1720715045939313e-06,100.00202806744103,-99.99956933703895,0.18065800153028988,0.17473474144935608,430.7178702826491,433.8471995046234,306.3998815417387,310.9305995702697,139.44347834304256,140.6669649339733,24.243891829314634,24.730762721310384,0.9803131469303122,True,False,False,False,False
speed_100rpm__torque_900Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm900.0Nm35.0deg.csv,456287,100.00130166493666,Fw_then_Bw,388799,28610,7.1525,True,1,2.191603091913642e-06,100.00130166493666,-100.00130159702773,0.18591066570175485,0.17646700143814087,451.95225781452564,417.97760156141237,322.75915145874023,295.1212005317357,144.59447811046857,141.19914347926112,24.883464019342227,25.489284585029274,0.9762323432944499,True,False,False,False,False
speed_100rpm__torque_1000Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1000.0Nm25.0deg.csv,466564,100.00163693136224,Fw_then_Bw,388800,38887,9.72175,True,1,2.1433286751656795e-06,100.00163693136224,-100.00130159702773,0.18803406176932924,0.18697233948235237,413.95412214717453,415.5189575006375,294.14890706539154,294.95358556510496,145.2118227612715,143.8440976398168,26.299809907925464,26.412675787906892,0.9957268290086269,True,False,False,False,False
speed_100rpm__torque_1000Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm1000.0Nm30.0deg.csv,459778,100.00202806744103,Fw_then_Bw,388800,32101,8.02525,True,1,2.1749626993897053e-06,100.00202806744103,-99.99850766810899,0.1904927339637652,0.19012949875711627,436.3061549762506,444.7999720771918,312.3432546854019,319.8980748653639,148.60715042976835,146.60613309769133,26.425956521637772,26.425953548709913,1.000000112500306,True,False,False,False,False
speed_100rpm__torque_1000Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm1000.0Nm35.0deg.csv,457159,100.000575199374,Fw_then_Bw,388801,29482,7.3705,True,1,2.1874227566339063e-06,100.000575199374,-99.9992341385223,0.19468366614698596,0.19289552195307635,464.46934963262265,468.716025352478,333.1303477287406,337.600744068601,153.6841912284217,153.94707882689127,26.773402006313063,27.218115241240064,0.9836611304278268,True,False,False,False,False
speed_100rpm__torque_1100Nm__temperature_25degC,validation,data/original_dataset/Test_25deg/100rpm/100.0rpm1100.0Nm25.0deg.csv,466564,100.00063100111826,Fw_then_Bw,388801,38886,9.7215,True,1,2.1433286751656795e-06,100.00063100111826,-99.99744594097137,0.20585960010066628,0.20591541154620074,436.52930374571497,437.6469296403229,312.9243731498832,315.07012695071523,157.36692079474324,160.5706640652187,28.605803404730068,29.5751156045867,0.9672254129851549,True,False,False,False,False
speed_100rpm__torque_1100Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm1100.0Nm30.0deg.csv,460016,99.99917819610953,Fw_then_Bw,388800,32339,8.08475,True,1,2.1738374317415047e-06,99.99917819610953,-100.00130159702773,0.20066272797218687,0.20172446966171265,451.95198617875576,447.70510091137794,324.4132280349845,319.36165422200133,158.70801327486674,154.68682646754243,28.17868788791884,28.105876764442424,1.0025906013922516,True,False,False,False,False
speed_100rpm__torque_1100Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm1100.0Nm35.0deg.csv,459037,100.0026986002922,Fw_then_Bw,388799,31361,7.84025,True,1,2.1784736306659376e-06,100.0026986002922,-100.00169280101545,0.20384786572928704,0.2083740643380878,491.06747610495063,470.2808024982801,351.63759738202884,333.7115168571927,163.44444388967077,163.7105402492125,28.27384817123857,29.869452118873596,0.9465807427171785,True,False,False,False,False
speed_100rpm__torque_1200Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1200.0Nm25.0deg.csv,466564,99.99604893285625,Fw_then_Bw,388799,38888,9.722,True,1,2.1433286751656795e-06,99.99604893285625,-99.99817233377448,0.2125650692808847,0.22765253864538693,464.692828245461,461.56371342172235,333.7114666402499,330.89520335198586,167.38368059906153,162.7446367981947,30.385087917352394,28.371221107428823,1.0709827329002857,True,False,False,False,False
