filtered_row_index,rpm,deg,tor,fft_y_Fw_filtered_ampl_0,fft_y_Fw_filtered_phase_0,fft_y_Fw_filtered_ampl_1,fft_y_Fw_filtered_phase_1,fft_y_Fw_filtered_ampl_3,fft_y_Fw_filtered_phase_3,fft_y_Fw_filtered_ampl_39,fft_y_Fw_filtered_phase_39,fft_y_Fw_filtered_ampl_40,fft_y_Fw_filtered_phase_40,fft_y_Fw_filtered_ampl_78,fft_y_Fw_filtered_phase_78,fft_y_Fw_filtered_ampl_81,fft_y_Fw_filtered_phase_81,fft_y_Fw_filtered_ampl_156,fft_y_Fw_filtered_phase_156,fft_y_Fw_filtered_ampl_162,fft_y_Fw_filtered_phase_162,fft_y_Fw_filtered_ampl_240,fft_y_Fw_filtered_phase_240
245,100.0,30.0,1500.0,0.07953093624927739,0.0,0.0169795474986827,-0.01425452270311715,0.0009093922383010301,1.8909059938064976,0.0015524968548102523,-0.8865234726459436,0.0007672401462979887,0.13614826842464642,0.0019394491842304564,-0.4817514090315993,0.0004961289124227206,-1.9456788795654703,5.3477037437357444e-05,-2.6542906176552967,0.00020312968778547536,2.5775573626077803,0.0007418499878695386,-1.1362776159192598
246,100.0,30.0,1700.0,0.08744058703872337,0.0,0.017090702206649898,-0.016001649233145517,0.0010630694117164735,1.9585631435030688,0.001687818086436172,-0.8850304348725474,0.0008273807157753604,0.10301224499163919,0.002249048032230769,-0.43167466937247506,0.0005397744763015599,-1.948178780842916,7.268440026158828e-05,-2.565858361462976,0.00021769389469744122,2.576525597468856,0.000839754480915797,-1.1270241041961528
247,100.0,30.0,200.0,0.029647729960388777,0.0,0.017183605200195847,-0.007682196274595584,0.0006083816485387845,1.6300753347826678,0.0008937591070062638,-1.4198198008088316,0.0009019861705077862,0.12823636031583616,0.00026009400904862263,-1.8014715401611756,0.00022361708096527928,-1.148091649003364,9.431646570173149e-05,0.8947069618908116,7.458290000619264e-05,-2.7813326147959403,0.00018500216238301584,-2.1063254266966167
248,100.0,30.0,300.0,0.033943639954835014,0.0,0.017181626255657556,-0.009078959656329755,0.0005987554674631525,1.5979042773264516,0.0009136264035864734,-1.3869289156089497,0.0009319920882706622,0.09726557063562832,0.00033164296976567645,-1.4760807612293276,0.0002215851781385977,-1.2810241164951157,6.456769645263353e-05,0.8668588084338409,6.926609622092417e-05,-2.9510763990922126,0.00019707231066912154,-1.9413172674419972
249,100.0,30.0,400.0,0.038538142457188264,0.0,0.017116260846529688,-0.011166042428936346,0.000645689984122763,1.626110336544731,0.0009553692639048385,-1.3496951806393247,0.0009577318241892098,0.11870786598642111,0.00040224427323486925,-1.1887148093896218,0.00022282083919132405,-1.4165151413560222,8.196099969701177e-05,0.7300572406376421,8.944924657716864e-05,-3.042105848729026,0.00022673348857518683,-1.7830750321216624
250,100.0,30.0,500.0,0.04266529339756679,0.0,0.017118105296569392,-0.011491733032401747,0.0006235582325255504,1.6518084356116918,0.0010301297069204576,-1.2712270215388755,0.0009409495791731801,0.05843580632703318,0.0005039803795282488,-0.98088695886674,0.00024118720318155203,-1.4513400347145238,5.114314053866656e-05,0.3432514410013884,7.718946697309426e-05,-3.0638044091436534,0.0002496506953193988,-1.6005259489638155
251,100.0,30.0,600.0,0.0451469259799563,0.0,0.017135608936841785,-0.01178691382890482,0.0006289416150062864,1.6560664931677496,0.0010451217054392307,-1.2477035405431287,0.0009326253086890111,0.06971537861844693,0.0006258909935091141,-0.8841038117680333,0.00024251829190756268,-1.5497539323225276,5.188638478858993e-05,1.8334257257390325,8.807011035136862e-05,3.0845497890139852,0.0002732124992774054,-1.5514403003220483
252,100.0,30.0,700.0,0.04978913167826569,0.0,0.017064995189580535,-0.010134904929081354,0.0006545491226774053,1.7266277859083978,0.0011078069757390096,-1.1699998234063198,0.0009167510344381101,0.025330834024210134,0.0007491822162676004,-0.7983950448312044,0.00026658589429107507,-1.6370039019156843,4.377458610518734e-05,2.066315773582665,9.930355849469711e-05,3.0321265353960305,0.0003205892044056873,-1.4421804610788689
253,100.0,30.0,800.0,0.05344279497325121,0.0,0.017092755195364056,-0.0117183384828779,0.0006969608699281863,1.6973018677468372,0.0011768517276213642,-1.1576745514353555,0.0008989449566952629,0.01759543402463285,0.0008861933589391194,-0.7333785605788384,0.0002789179005019473,-1.6897660603299238,1.773237182165948e-05,1.892292654229185,0.00010906357246148922,2.9485635091667257,0.00035799993426965585,-1.3834214561387412
254,100.0,30.0,900.0,0.05714553224798284,0.0,0.017093979053837763,-0.010287160341342211,0.0007050274019107333,1.7403862515900326,0.001141544630666698,-1.0934063285115916,0.000902995324566834,-0.01470409171483109,0.001033237485005863,-0.6792846826426767,0.00031774844958314054,-1.7584970941471403,1.6955457274492603e-05,1.9443542696114158,0.00011208593165240549,2.9013661493476866,0.00042262876625828185,-1.320818483939525
