bootstrap_index,torque_slope_deg_per_nm,shuffled_torque_slope_deg_per_nm
357,3.6423761429475644e-05,-4.180111076577001e-07
358,3.686171479980797e-05,1.2844746238521438e-06
359,3.6851434389941345e-05,4.3306689471511235e-08
360,3.660347996650629e-05,2.261836049407089e-06
361,3.6682215490641016e-05,1.7792838832426247e-06
362,3.651155675984655e-05,-3.2707698583457748e-06
363,3.671426111911425e-05,2.1870194774770077e-06
364,3.654253523334405e-05,-7.185664918355647e-07
365,3.6528562990272674e-05,1.84276892781559e-06
366,3.655328137046498e-05,-1.837539513364041e-06
367,3.6228723356741584e-05,1.3256643881265281e-06
368,3.6540787721136196e-05,-2.442004378950674e-06
369,3.662515469652121e-05,1.3393516564653934e-06
370,3.6453550845848784e-05,-1.6061686581895746e-06
371,3.7062148734592126e-05,8.216676595828666e-07
372,3.6456146405473944e-05,-1.3207552504259566e-06
373,3.6531081324387044e-05,1.2210690534220396e-06
374,3.6627269325244595e-05,4.0647489251016103e-07
375,3.670834668040766e-05,1.2817533934257448e-06
376,3.6832939489409766e-05,-3.56259849480582e-07
377,3.648687817838618e-05,-2.065850146850467e-06
378,3.658813122370315e-05,4.867901227302326e-07
379,3.679148587448689e-05,5.761837063928263e-06
380,3.6731410001883563e-05,-1.918750662856648e-06
381,3.6743673579732054e-05,2.7090515593766274e-06
382,3.6255905740686124e-05,3.5375918910757205e-07
383,3.714880949579995e-05,-4.564443718824956e-07
384,3.660478167798152e-05,9.651932925385134e-07
385,3.673837752972569e-05,-8.964710065753453e-07
386,3.6560364810678217e-05,1.3704983860560108e-06
387,3.694231778425185e-05,1.3038471099803773e-06
388,3.639646857855612e-05,5.430882701551843e-07
389,3.6909967676824245e-05,2.0246605626451637e-07
390,3.67488948135164e-05,-2.2959579480744512e-07
391,3.6572932840845234e-05,-4.477025877415824e-07
392,3.655107281586203e-05,7.54664386871881e-08
393,3.649374982749214e-05,6.672674633834289e-07
394,3.6548957356949544e-05,-9.247138592878381e-07
395,3.689781989974646e-05,-1.1118872355682978e-07
396,3.626958065465128e-05,-2.9586415996939145e-06
397,3.661077965714546e-05,5.5404716600293673e-08
398,3.661403948367008e-05,-9.463025871326896e-07
399,3.6313771237258847e-05,-1.4639676069861154e-06
400,3.665826445301032e-05,-1.725400661122852e-06
401,3.695929608577607e-05,2.3217927288590623e-06
402,3.7038417345861964e-05,5.071790340520052e-07
403,3.67264680332735e-05,-1.0058039285353965e-07
404,3.677058366419726e-05,6.214940933780421e-07
405,3.6781746650475265e-05,-8.329826427250224e-07
406,3.6665095460070094e-05,-1.7731847001122026e-06
407,3.657267644940245e-05,3.072448162450903e-06
408,3.673962109574927e-05,7.527068527572803e-08
409,3.700186699450988e-05,2.45822229131655e-06
410,3.6673711582660016e-05,-4.1280325968431077e-08
411,3.6752742520598524e-05,2.6228949005063555e-06
412,3.6666966447198715e-05,7.581438622286234e-07
413,3.664220526651906e-05,-6.359606517799525e-07
414,3.689430034116951e-05,2.246586776318606e-06
415,3.696629118829982e-05,-7.548434884020248e-07
416,3.6932666857454644e-05,2.4907451560112423e-06
417,3.6576194767349584e-05,-2.7353495586203325e-06
418,3.6625962208510666e-05,-1.5452594977621463e-07
419,3.6524971885012875e-05,-1.2776207622944845e-06
420,3.657768515578222e-05,-2.0382640932241653e-06
421,3.665208414957561e-05,1.3729506253101448e-07
422,3.6968741909130426e-05,1.8472694829701897e-07
423,3.665844183051063e-05,-1.3720413265708027e-06
424,3.6471126825499474e-05,1.905373055018807e-06
425,3.651345474138365e-05,4.36760598262746e-06
426,3.656864821487516e-05,2.3510819191580424e-06
427,3.7014359990619584e-05,-1.4979944635749135e-06
428,3.6541414598474484e-05,6.382355098975121e-07
429,3.637627913923496e-05,2.034914862966086e-06
430,3.6976486276467484e-05,-1.4172955072302188e-06
431,3.649602993326988e-05,7.540459076969366e-07
432,3.6389388502598046e-05,-1.6718220306676471e-06
433,3.675182122989789e-05,1.6922334617225882e-06
434,3.644245220596511e-05,-4.818019152629199e-07
435,3.654913197259225e-05,-2.1913193171228215e-07
436,3.661704913230335e-05,1.4851834694750852e-06
437,3.678010779881528e-05,-1.387339881553082e-06
438,3.683019433954482e-05,-7.739687720788076e-07
439,3.6590454187296964e-05,-3.6056084872620527e-06
440,3.665015968178935e-05,-1.297118172798297e-06
441,3.6739081930351496e-05,-2.0384564340632524e-07
442,3.6730085285663144e-05,-9.170775532054525e-07
443,3.6389205419669034e-05,8.940140637605123e-07
444,3.647535839990649e-05,1.615828160856141e-06
445,3.670080262981171e-05,-2.908070780148661e-06
446,3.6560873651202315e-05,-5.910988588299497e-07
447,3.669421432428508e-05,-1.2703316641313727e-06
448,3.659224275210409e-05,-4.5970264734785466e-07
449,3.692694986912511e-05,-3.552453625368577e-07
450,3.652762129308028e-05,-1.8425926336603847e-07
451,3.646554205556586e-05,1.2804169784984527e-06
452,3.6539290664894237e-05,1.8202130336501345e-06
453,3.672083026799034e-05,1.6596217602725681e-06
454,3.680400577689341e-05,1.6187183639084647e-06
455,3.695909052074241e-05,-3.359314493884211e-07
456,3.676210341725733e-05,1.5008497878776712e-06
457,3.6611204981370106e-05,1.686087511952664e-06
458,3.684624566765897e-05,4.780142038342105e-07
459,3.7076805819073336e-05,-1.687464308451392e-06
460,3.649685185485353e-05,-9.380932160548991e-07
461,3.66872472134063e-05,5.315945043211154e-07
462,3.6684443060817686e-05,1.5031896171370262e-06
463,3.6489110795236845e-05,-3.13623008272194e-07
464,3.6649142752164176e-05,5.935091709764604e-07
465,3.6501803207707554e-05,-1.9157264300008243e-06
466,3.687527522071329e-05,1.2263145643429076e-06
467,3.653154241267235e-05,5.018948363864374e-07
468,3.722592857921301e-05,-1.3152361750300211e-06
469,3.6927476675041236e-05,-6.399466477914842e-07
470,3.695849280929421e-05,-1.3891453415783386e-06
471,3.6648465735413125e-05,-4.49733978573668e-06
472,3.640973851815621e-05,-9.88430567242494e-07
473,3.647296858675069e-05,1.1646452190222194e-06
474,3.629690970125526e-05,-2.587445036859743e-07
475,3.660590195141476e-05,2.47874225433127e-07
476,3.6538900193786654e-05,2.6117952107338307e-06
477,3.6475198405403135e-05,3.0511730600687943e-07
478,3.667149160649478e-05,1.0541352421468566e-06
479,3.673083476874422e-05,1.333791446981119e-06
480,3.68780206018027e-05,6.940468599225177e-07
481,3.650596425389014e-05,-1.1454469673815463e-06
482,3.688051569102559e-05,2.259075914965399e-06
483,3.6536388143099696e-05,-3.839976800983548e-07
484,3.6755927805460284e-05,-2.4331851531775906e-07
485,3.6522412189876666e-05,1.5252386377240267e-06
486,3.681953041273283e-05,-3.371933029051029e-07
487,3.6558161787499696e-05,-1.2109482283879645e-07
488,3.689051757633553e-05,9.294196593300992e-07
489,3.65644888342764e-05,2.3662423052965606e-06
490,3.673307667068004e-05,5.9838684416944725e-09
491,3.6673378596320146e-05,2.0251063705856626e-06
492,3.63553096593893e-05,8.224642808064531e-07
493,3.6549378890181184e-05,-2.8480789333978086e-06
494,3.693409053753465e-05,-3.238534602887377e-07
495,3.652005476177013e-05,-4.390657316954753e-07
496,3.6821373727112895e-05,7.001415907836915e-07
497,3.67395772562243e-05,4.429712804675004e-07
498,3.6456031454194024e-05,2.0189928233362034e-06
499,3.660773789143187e-05,-1.5027339008794216e-06
500,3.67493858622539e-05,-2.3162234446415367e-06
501,3.680111112829353e-05,1.706212579640145e-06
502,3.6790153150295375e-05,5.469801666388145e-07
503,3.674193229274108e-05,6.02474039547252e-07
504,3.681151575100766e-05,-1.068271320881448e-06
505,3.680475627425968e-05,9.046969013192311e-07
506,3.637482762334035e-05,-1.2457124524624972e-06
507,3.675575710074788e-05,9.90833277627259e-08
508,3.65384165686743e-05,3.7446504499365945e-07
509,3.675599925804175e-05,5.933906281327511e-07
510,3.659447379868003e-05,-1.377309312837921e-08
511,3.6584870857685587e-05,1.9862641247791643e-06
